"NAMEA po: DEJAVNOST, LETO , MERITVE"

" ";"2008";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2009";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2012";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2013";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2014";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2015";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2016";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"CO2 (Gg)";"Biomasa CO2 (Gg)";"N2O (Mg)";"CH4 (Mg)";"HFC (Mg)";"PFC (Mg)";"SF6 (Mg)";"NOx (Mg)";"SOx (Mg)";"NH3 (Mg)";"NMVOC (Mg)";"CO (Mg)";"PM10 (Mg)";"PM2,5 (Mg)";"CO2 (Gg)";"Biomasa CO2 (Gg)";"N2O (Mg)";"CH4 (Mg)";"HFC (Mg)";"PFC (Mg)";"SF6 (Mg)";"NOx (Mg)";"SOx (Mg)";"NH3 (Mg)";"NMVOC (Mg)";"CO (Mg)";"PM10 (Mg)";"PM2,5 (Mg)";"CO2 (Gg)";"Biomasa CO2 (Gg)";"N2O (Mg)";"CH4 (Mg)";"HFC (Mg)";"PFC (Mg)";"SF6 (Mg)";"NOx (Mg)";"SOx (Mg)";"NH3 (Mg)";"NMVOC (Mg)";"CO (Mg)";"PM10 (Mg)";"PM2,5 (Mg)";"CO2 (Gg)";"Biomasa CO2 (Gg)";"N2O (Mg)";"CH4 (Mg)";"HFC (Mg)";"PFC (Mg)";"SF6 (Mg)";"NOx (Mg)";"SOx (Mg)";"NH3 (Mg)";"NMVOC (Mg)";"CO (Mg)";"PM10 (Mg)";"PM2,5 (Mg)";"CO2 (Gg)";"Biomasa CO2 (Gg)";"N2O (Mg)";"CH4 (Mg)";"HFC (Mg)";"PFC (Mg)";"SF6 (Mg)";"NOx (Mg)";"SOx (Mg)";"NH3 (Mg)";"NMVOC (Mg)";"CO (Mg)";"PM10 (Mg)";"PM2,5 (Mg)";"CO2 (Gg)";"Biomasa CO2 (Gg)";"N2O (Mg)";"CH4 (Mg)";"HFC (Mg)";"PFC (Mg)";"SF6 (Mg)";"NOx (Mg)";"SOx (Mg)";"NH3 (Mg)";"NMVOC (Mg)";"CO (Mg)";"PM10 (Mg)";"PM2,5 (Mg)";"CO2 (Gg)";"Biomasa CO2 (Gg)";"N2O (Mg)";"CH4 (Mg)";"HFC (Mg)";"PFC (Mg)";"SF6 (Mg)";"NOx (Mg)";"SOx (Mg)";"NH3 (Mg)";"NMVOC (Mg)";"CO (Mg)";"PM10 (Mg)";"PM2,5 (Mg)";"CO2 (Gg)";"Biomasa CO2 (Gg)";"N2O (Mg)";"CH4 (Mg)";"HFC (Mg)";"PFC (Mg)";"SF6 (Mg)";"NOx (Mg)";"SOx (Mg)";"NH3 (Mg)";"NMVOC (Mg)";"CO (Mg)";"PM10 (Mg)";"PM2,5 (Mg)";"CO2 (Gg)";"Biomasa CO2 (Gg)";"N2O (Mg)";"CH4 (Mg)";"HFC (Mg)";"PFC (Mg)";"SF6 (Mg)";"NOx (Mg)";"SOx (Mg)";"NH3 (Mg)";"NMVOC (Mg)";"CO (Mg)";"PM10 (Mg)";"PM2,5 (Mg)"
"SKD dejavnost - SKUPAJ";15340.0;817.5;2419.0;88209.3;93908.0;14735.3;19370.5;61409.9;13844.3;17071.3;28208.6;32042.8;5626.0;3897.4;13792.7;650.2;2442.2;84923.6;108656.7;5236.5;17165.0;52294.1;11382.3;17151.6;25290.6;23745.6;4576.3;3152.2;13714.2;714.7;2400.6;83753.2;121866.6;9639.8;17942.8;49839.8;9998.3;16785.0;24060.4;24249.0;4458.5;3020.5;13903.7;674.7;2425.8;83348.0;137228.9;20157.4;18181.4;48563.2;12644.1;16156.4;22110.8;25152.2;4439.0;2963.1;13304.2;669.9;2429.3;81563.0;161896.9;18109.8;15933.5;45355.4;11130.9;15876.4;20664.7;25795.5;4188.6;2763.3;12838.6;725.6;2333.2;79084.8;185306.9;15314.5;15492.3;42470.1;13389.4;15753.7;19409.0;25185.8;4012.1;2698.4;11456.0;781.4;2384.4;76322.3;209816.2;15221.5;14998.2;36649.8;9646.7;16182.0;19171.5;24520.6;3931.2;2685.4;11602.7;762.9;2461.9;78258.1;235735.6;15740.3;17492.6;32818.3;5209.1;16535.2;19327.3;24009.6;3855.0;2628.5;12088.7;764.8;2505.8;79512.2;251449.9;19781.4;17436.2;34298.5;4594.6;16827.0;19470.5;24361.0;3900.8;2647.3
"Gospodinjstva - SKUPAJ";3453.3;2292.9;186.6;6465.7;134762.3;-;-;8586.9;840.2;1481.0;12191.8;84259.2;8996.4;8484.1;3453.3;2391.3;167.0;6689.5;136869.3;-;-;8688.4;766.4;1788.1;13703.2;99837.3;11004.6;10489.8;3520.2;2444.6;168.5;6765.9;137960.0;-;-;8717.1;791.1;1805.9;13635.4;101013.1;11335.3;10813.4;3395.5;2450.9;169.0;6784.1;135325.9;-;-;8733.4;677.3;1749.3;13223.8;96446.4;11164.2;10624.8;3304.4;2406.9;167.8;6577.4;132359.2;-;-;8886.1;613.8;1694.7;12856.4;93154.0;11042.5;10498.1;3186.1;2496.8;170.7;6756.7;127130.2;-;-;8953.7;556.2;1713.1;12839.5;94357.1;11279.5;10744.6;2918.9;1988.0;148.8;5411.5;119218.6;-;-;8238.2;450.8;1418.9;11282.1;77627.0;9537.4;9044.2;3031.5;2210.1;157.6;6050.1;110774.5;-;-;8357.8;468.9;1467.8;11513.5;80644.3;9755.1;9262.3;3108.7;2279.3;164.0;6289.2;102152.2;-;-;8733.9;459.7;1511.2;11701.6;83072.6;10085.3;9568.8
"Gospodinjstva - promet";2237.3;28.0;98.2;226.5;124444.8;-;-;6450.4;71.6;362.7;3447.4;22167.7;1102.5;763.6;2289.9;39.2;75.8;223.8;127747.9;-;-;6236.7;14.6;365.8;3247.8;21247.2;987.9;693.8;2307.6;59.8;75.8;217.9;128240.2;-;-;6158.7;14.7;335.6;2879.5;19957.2;985.4;692.2;2358.9;43.4;77.0;204.0;125647.3;-;-;6299.5;15.0;298.4;2631.8;16748.4;1028.0;711.8;2359.9;62.8;78.8;182.0;122233.3;-;-;6515.7;15.0;259.2;2366.0;14468.1;1045.6;721.2;2364.6;74.2;79.7;168.2;116243.8;-;-;6609.4;15.0;233.1;2133.1;13421.7;1001.5;692.5;2258.3;51.8;76.0;147.0;107645.6;-;-;6321.8;14.3;199.6;1856.5;10924.9;947.4;644.6;2323.7;37.7;76.4;149.6;98507.7;-;-;6310.4;14.7;195.6;1857.0;11144.5;916.5;618.5;2408.9;12.3;79.6;137.7;89262.6;-;-;6615.1;15.2;192.0;1806.2;11095.2;971.8;655.7
"Gospodinjstva - ogrevanje/hlajenje";1208.5;2264.9;88.5;6239.2;-;-;-;2136.5;768.6;1118.2;6093.7;62091.5;7893.9;7720.6;1156.0;2352.1;91.2;6465.7;-;-;-;2451.7;751.8;1422.2;7782.9;78590.2;10016.7;9796.0;1207.8;2384.8;92.7;6548.1;-;-;-;2558.4;776.5;1470.3;8077.4;81055.9;10349.9;10121.2;1031.7;2407.4;92.0;6580.1;-;-;-;2433.9;662.3;1450.9;7909.9;79698.0;10136.2;9913.0;940.7;2344.1;89.0;6395.5;-;-;-;2370.4;598.9;1435.5;7811.6;78685.9;9996.9;9777.0;819.2;2422.7;91.0;6588.4;-;-;-;2344.3;541.2;1480.0;8031.9;80935.4;10277.9;10052.0;655.8;1936.2;72.8;5264.5;-;-;-;1916.4;436.6;1219.3;6743.8;66702.0;8590.0;8399.6;702.8;2172.4;81.2;5900.5;-;-;-;2047.4;454.3;1272.2;6970.1;69499.7;8838.7;8643.8;696.1;2267.0;84.4;6151.5;-;-;-;2118.8;444.5;1319.3;7200.2;71977.4;9113.5;8913.1

"Vir: Statistièni urad Republike Slovenije. "

"Povezane vsebine: "
" "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8173 target=_blank) Metodološka pojasnila "
" "

"Standardna klasifikacija dejavnosti: (seznam "
"HREF=../database/Meta/SKD_dejavnost.htm TARGET=_blank) opis in "
"pojasnila."

"Vkljuèena so vsa gospodinjstva, tudi zasebna gospodinjstva z "
"zaposlenim osebjem. Loèenih podatkov nimamo."

"CO2 ekvivalent"

"CO2 ekvivalent"

"CO2 ekvivalent"

